LS27HG806EFXZW,對應型號S27HG806EF,27吋 Odyssey G8 G80HF 5K 180Hz / QHD 360Hz 平面電競顯示器,27吋16:9 IPS平面,5K (5120 x 2880) / DLG QHD (2560 x 1440),Max 5K 180Hz / QHD 360Hz,1ms (GtG),典型 350 cd/㎡ / 峰值 400 cd/㎡ / 最小 250 cd/㎡,原生 1000:1,HDR10 / HDR10+ Gaming,178°(H)/178°(V),sRGB 99% / Max 1B 色,節能模式 / 低藍光 / 零閃屏 / FreeSync Premium / G-Sync / 雙模式 / Off Timer Plus / 黑平衡 / 虛擬準心 / Core Sync / 超級電競模式 UX / Auto Source Switch+,Display Port 1 (DP 2.1) + HDMI 2 (2.1) + 耳機 + USB-B 上行 + USB-A 下行 2 (3.2 Gen1),無喇叭,HAS Pivot 底座 HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100 mm,AC 100-240V 外接電源變壓器,最高 78W,614.1 x 566.6 x 263.9 mm,614.1 x 365.1 x 59.6 mm,665 x 153 x 477 mm,6.2 kg,3.7 kg,8.3 kg,電源線 1.5m + HDMI 線 + DP 線 + USB 3.0 線
LS27HG802SCXZW,對應型號S27HG802SC,27吋 Odyssey OLED G8 G80SH 4K UHD 平面電競顯示器,27吋16:9 OLED(QD-OLED)平面,4K UHD (3840 x 2160),Max 240Hz,0.03ms (GtG),典型 250 cd/㎡ / 峰值 1,000 cd/㎡ (APL 3%) / 最小 200 cd/㎡,原生 1,500,000:1,VESA DisplayHDR True Black 400 / HDR10+ Gaming,178°(H)/178°(V),DCI 99% / Max 1B 色 / Pantone Validated / 166 PPI,節能模式 / 低藍光 / 零閃屏 / FreeSync Premium Pro / G-Sync / Off Timer Plus / 黑平衡 / 虛擬準心 / Core Sync / 超級電競模式 UX / Auto Source Switch+ / Samsung OLED Safeguard+ / 烙印保固,Display Port 1 (DP 2.1 UHBR20) + HDMI 2 (2.1) + USB-C 1 (98W 充電) + 耳機 + USB-A 下行 2 (3.2 Gen1),無喇叭,HAS Pivot 底座 (銀色) HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100 mm,AC 100-240V 外接電源變壓器,最高 220W,611.7 x 563.6 x 263.9 mm,611.7 x 353.8 x 49.2 mm,684.0 x 185.0 x 451.0 mm,6.5 kg,3.8 kg,9.1 kg,電源線 1.5m + HDMI 線 + DP 線 + USB Type-C 線
LS27HG612SCXZW,對應型號S27HG612SC,27吋 Odyssey OLED G6 G61SH QHD 平面電競顯示器,27吋16:9 OLED(QD-OLED)平面,QHD (2560 x 1440),Max 240Hz,0.03ms (GtG),典型 200 cd/㎡ / 峰值 400 cd/㎡ / 最小 190 cd/㎡,原生 1,500,000:1,HDR10 / HDR10+ Gaming,178°(H)/178°(V),DCI 99% / Max 1B 色 / Pantone Validated,節能模式 / 低藍光 / 零閃屏 / FreeSync Premium / G-Sync / Off Timer Plus / 黑平衡 / 虛擬準心 / 超級電競模式 UX / Auto Source Switch+ / Samsung OLED Safeguard / 烙印保固,Display Port 1 (DP 1.4) + HDMI 1 (2.1) + 耳機,無喇叭,HAS 底座 HAS 105mm / 前後傾斜 -3°~25° / 左右旋轉 -45°~45° / 垂直旋轉 -92°~92°,100 x 100 mm,AC 100-240V 外接電源變壓器,最高 78W,609.9 x 512.7 x 250.2 mm,609.9 x 359.3 x 57 mm,487 x 120 x 672 mm,3.8 kg,2.5 kg,5.4 kg,電源線 1.5m + HDMI 線 + DP 線
LS27FG502ECXZW,對應型號S27FG502EC,27吋 Odyssey G5 平面電競顯示器 G50F,27吋16:9 IPS(Fast IPS)平面,QHD (2560 x 1440),Max 180Hz,1ms (GtG),典型 300 cd/㎡ / 最小 240 cd/㎡,原生 1000:1,HDR10,178°(H)/178°(V),sRGB 99% / Max 16.7M 色,節能模式 / 低藍光 / 零閃屏 / FreeSync / G-Sync / Off Timer Plus / 黑平衡 / 虛擬準心 / 超級電競模式 UX / Auto Source Switch+,Display Port 1 (DP 1.2) + HDMI 1 (2.0) + 耳機,無喇叭,HAS PIVOT 底座 HAS 105mm / 前後傾斜 -3°~25° / 左右旋轉 -45°~45° / 垂直旋轉 -92°~92°,100 x 100 mm,AC 100-240V 外接電源變壓器,最高 48W,614.0 x 517.8 x 250.2 mm,614 x 361.8 x 45.1 mm,488 x 114 x 655 mm,4.1 kg,2.9 kg,5.8 kg,電源線 1.5m + HDMI 線 + DP 線
LS32FM500ECXZW,對應型號S32FM500EC,32吋智慧聯網螢幕 M5 M50F,32吋16:9 VA,Full HD (1920 x 1080),Max 60Hz,4ms (GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,3000:1 (Typ.),HDR10,178°(H)/178°(V),72% NTSC / Max 16.7M 色,Smart 類型 / Tizen 作業系統 / 多裝置體驗 (Mobile to Screen / Sound Mirroring / Wireless On),HDMI 2 (1.4) + HDCP 2.2 + USB Type-A 下行 2 (2.0) + Wi-Fi 5 + 藍牙 5.2,立體聲喇叭 10W + Adaptive Sound,前後傾斜 -2°~15° / 壁掛 100 x 100,100 x 100,AC 100-240V,最高 59W (外接電源變壓器),715.5 x 525.9 x 200.1 mm,715.5 x 427.3 x 41.8 mm,835 x 109 x 484 mm,4.7 kg,3.9 kg,6.6 kg,電源線 1.5m + HDMI 連接線 + 遙控器
LS22D400GACXZW,對應型號S22D400GAC,22吋 S4 IPS 平面顯示器 S40GD,22吋16:9 IPS,Full HD (1920 x 1080),Max 100Hz,5ms (GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,原生 1000:1 / 動態 Mega,無HDR,178°(H)/178°(V),NTSC 72% (CIE 1931) / Max 16.7M,節能模式 / 低藍光 / 零閃屏 / Windows 11 認證 / Off Timer Plus / 自動來源切換 / Game Picture Mode,Display Port 1.2 x 1 + HDMI 1.4 x 2 + 耳機 + USB Hub 2.0 x 2 + USB-B 上行 x 1 + HDCP 1.2/1.4,無喇叭,HAS 高度 105mm / 前後傾斜 -3°~25° / 左右旋轉 -45°~45° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 內置電源,最高 40W,489.9 x 469.2 x 219.0 mm,489.9 x 291.9 x 39.8 mm,532.0 x 109.0 x 416.0 mm,3.2 kg,1.9 kg,4.5 kg,電源線 1.5m + HDMI 連接線
LS24D400GACXZW,對應型號S24D400GAC,24吋 S4 IPS 平面顯示器 S40GD,24吋16:9 IPS,Full HD (1920 x 1080),Max 100Hz,5ms (GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,原生 1000:1 / 動態 Mega,無HDR,178°(H)/178°(V),NTSC 72% (CIE 1931) / Max 16.7M,節能模式 / 低藍光 / 零閃屏 / Windows 11 認證 / Off Timer Plus / 自動來源切換 / Game Picture Mode,Display Port 1.2 x 1 + HDMI 1.4 x 2 + 耳機 + USB Hub 2.0 x 2 + USB-B 上行 x 1 + HDCP 1.2/1.4,無喇叭,HAS 高度 105mm / 前後傾斜 -3°~25° / 左右旋轉 -45°~45° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 內置電源,最高 45W,540.7 x 497.7 x 219.0 mm,540.7 x 320.4 x 39.8 mm,585.0 x 109.0 x 447.0 mm,3.5 kg,2.3 kg,4.8 kg,電源線 1.5m + HDMI 連接線
LS24D300GACXZW,對應型號S24D300GAC,24吋 S3 IPS 平面顯示器 S30GD,24吋16:9 IPS,Full HD (1920 x 1080),Max 100Hz,5ms (GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,原生 1000:1 / 動態 Mega,無HDR,178°(H)/178°(V),NTSC 72% (CIE 1931) / Max 16.7M,省電模式自由選 / 低藍光 / 零閃屏 / Windows 11 認證 / Off Timer Plus / Game Mode,D-Sub x 1 + HDMI 1.4 x 1 + HDCP 1.4,無喇叭,簡約型底座 / 前後傾斜 -2°~21° (無 HAS / 左右 / 垂直),100 x 100,AC 100-240V 外接電源變壓器,最高 25W,540.7 x 428.5 x 175.1 mm,540.7 x 320.4 x 36.2 mm,636.0 x 100.0 x 363.0 mm,2.4 kg,2.0 kg,3.8 kg,電源線 1.5m + HDMI 連接線
LS24D362GACXZW,對應型號S24D362GAC,24吋 S3 曲面顯示器 S36GD,24吋16:9 VA曲面 1800R,Full HD (1920 x 1080),Max 100Hz,4ms (GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,原生 3000:1,無HDR,178°(H)/178°(V),sRGB 95% / Max 16.7M,省電模式自由選 / 低藍光 / 零閃屏 / Windows 11 認證 / Off Timer Plus / Game Mode,D-Sub x 1 + HDMI 1.4 x 1 + 耳機,無喇叭,簡約型底座 / 前後傾斜 -2°~22° (無 HAS / 左右 / 垂直),75 x 75,AC 100-240V 外接電源變壓器,最高 25W,547.8 x 416.3 x 214.0 mm,547.8 x 325.6 x 108.2 mm,612.0 x 162.0 x 390.0 mm,3.2 kg,2.6 kg,5.0 kg,電源線 1.5m + D-Sub 線 + HDMI 線
LS27D806UACXZW,對應型號S27D806UAC,27吋 ViewFinity S8 UHD 高解析度平面顯示器 S80UD,27吋16:9 IPS,4K UHD (3840 x 2160),Max 60Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 1000:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,節能模式 / 低藍光 / 零閃屏 / PIP / PBP / Windows 11 認證 / KVM Switch / Adaptive Picture / Auto Source Switch+,Display Port 1.2 x 1 + HDMI 2.0 x 1 + USB-C 1 (90W) + USB Hub 3.0 x 3 + USB-B 上行 x 1 + LAN x 1 + 耳機,無喇叭,HAS PIVOT 底座 HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 內置電源,最高 170W,612.9 x 556.6 x 220 mm,612.9 x 367.7 x 41.6 mm,687 x 160 x 510 mm,6.1 kg,3.6 kg,7.9 kg,電源線 1.5m + DP 線 + USB Type-C 線
LS32D707EACXZW,對應型號S32D707EAC,32吋 ViewFinity S7 UHD 高解析度平面顯示器 S70D,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 3000:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,低藍光 / 零閃屏 / PIP / PBP / Windows 11 認證 / Adaptive Picture / Auto Source Switch+,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機,無喇叭,簡約型底座 / 前後傾斜 -2°~25° (無 HAS / 左右 / 垂直),100 x 100,AC 100-240V 內置電源,最高 100W,713.9 x 501.6 x 180 mm,713.9 x 424.7 x 41.8 mm,798 x 160 x 546 mm,5.9 kg,4.4 kg,8.0 kg,電源線 1.5m + HDMI 線 + DP 線
LS27D706EACXZW,對應型號S27D706EAC,27吋 ViewFinity S7 UHD 高解析度平面顯示器 S70D,27吋16:9 IPS,4K UHD (3840 x 2160),Max 60Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 1000:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,低藍光 / 零閃屏 / PIP / PBP / Windows 11 認證 / Adaptive Picture / Auto Source Switch+,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機,無喇叭,簡約型底座 / 前後傾斜 -2°~25° (無 HAS / 左右 / 垂直),100 x 100,AC 100-240V 內置電源,最高 80W,612.9 x 473.2 x 180 mm,612.9 x 367.7 x 41.6 mm,687 x 160 x 484 mm,5.0 kg,3.5 kg,6.6 kg,電源線 1.5m + HDMI 線 + DP 線
LS24D604UACXZW,對應型號S24D604UAC,24吋 ViewFinity S6 QHD 高解析度平面顯示器 S60UD,24吋16:9 IPS,QHD (2560 x 1440),Max 100Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 1000:1 / 動態 Mega,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,低藍光 / 零閃屏 / PIP / PBP / 菊鏈 / KVM Switch / Adaptive Picture / Auto Source Switch+ / Windows 11 認證,Display Port 1.4 x 1 + HDMI 2.0 x 1 + Display Port Out 1.4 x 1 + USB-C 1 (90W) + USB Hub 3.0 x 3 + LAN x 1 + 耳機,無喇叭,HAS 高度 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 內置電源,最高 160W,540.7 x 535.9 x 220 mm,540.7 x 327.2 x 41.7 mm,609 x 160 x 479 mm,5.4 kg,2.9 kg,7.0 kg,電源線 1.5m + HDMI 線 + USB Type-C 線
LS27D606UACXZW,對應型號S27D606UAC,27吋 ViewFinity S6 QHD 高解析度平面顯示器 S60UD,27吋16:9 IPS,QHD (2560 x 1440),Max 100Hz,5ms,典型 350 cd/㎡ / 最小 280 cd/㎡,原生 1000:1 / 動態 Mega,HDR10,178°(H)/178°(V),sRGB 99% / Max 1.07B,節能模式 / 低藍光 / 零閃屏 / PIP / PBP / 菊鏈 / KVM Switch / Adaptive Picture / Auto Source Switch+ / Windows 11 認證,Display Port 1.4 x 1 + HDMI 2.0 x 1 + Display Port Out 1.4 x 1 + USB-C 1 (90W) + USB-B 上行 x 1 + USB Hub 3.0 x 3 + LAN x 1 + 耳機,無喇叭,HAS 高度 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 內置電源,最高 160W,612.9 x 556.6 x 220 mm,612.9 x 367.7 x 41.6 mm,687 x 160 x 510 mm,6.1 kg,3.6 kg,7.9 kg,電源線 1.5m + DP 線 + USB Type-C 線
LS32CM801UCXZW,對應型號S32CM801UC,32吋智慧聯網螢幕 M8 (2024),32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1,HDR10 / HDR10+,178°(H)/178°(V),sRGB 99% / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / Adaptive Sound+,HAS Pivot 底座 HAS 120mm / 前後傾斜 -2°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 140W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5m + HDMI 線 + USB Type-C 線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS32CM80GUCXZW,對應型號S32CM80GUC,32吋智慧聯網螢幕 M8 (2023) 湖水綠限定色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (靜態),HDR10 / HDR10+,178°(H) / 178°(V),sRGB 99% (CIE1931) / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / Knox Vault / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧偵測音效 Adaptive Sound+,HAS Pivot 底座 / HAS 高度調整 120.0 mm / 前後傾斜 -2.0°~15.0° / 垂直旋轉 -92.0°~+92.0°,100 x 100,AC 100~240V / 外接電源變壓器,最高 140 W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5 m + HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS32CM80BUCXZW,對應型號S32CM80BUC,32吋智慧聯網螢幕 M8 (2023) 夕霧藍限定色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (靜態),HDR10 / HDR10+,178°(H) / 178°(V),sRGB 99% (CIE1931) / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / Knox Vault / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧偵測音效 Adaptive Sound+,HAS Pivot 底座 / HAS 高度調整 120.0 mm / 前後傾斜 -2.0°~15.0° / 垂直旋轉 -92.0°~+92.0°,100 x 100,AC 100~240V / 外接電源變壓器,最高 140 W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5 m + HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS32CM80PUCXZW,對應型號S32CM80PUC,32吋智慧聯網螢幕 M8 (2023) 薔薇粉限定色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (靜態),HDR10 / HDR10+,178°(H) / 178°(V),sRGB 99% (CIE1931) / Max 1B 色,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 / NFT (Nifty Gateway) / Knox Vault / 感應連結 (Tap View) / 遠端存取 / Smart TV Apps,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧偵測音效 Adaptive Sound+,HAS Pivot 底座 / HAS 高度調整 120.0 mm / 前後傾斜 -2.0°~15.0° / 垂直旋轉 -92.0°~+92.0°,100 x 100,AC 100~240V / 外接電源變壓器,最高 140 W,713.4 x 616.2 x 200.1 mm,713.4 x 423.8 x 24.5 mm,925 x 132 x 485 mm,7.2 kg,4.2 kg,10.4 kg,電源線 1.5 m + HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸) + Pogo Gender
LS27CM703UCXZW,對應型號S27CM703UC,27吋智慧聯網螢幕 M7 (2023),27吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 300 cd/㎡ / 最小 240 cd/㎡,3000:1 (靜態),HDR10,178°(H)/178°(V),sRGB 99% (CIE1931) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 (Multi View 2 影片) / NFT (Nifty Gateway) / 感應連結 (Tap View) / 遠端存取 / 遊戲模式 / 影像尺寸 / Windows 10 認證 / 虛擬準心 / Game Bar 2.0 / HDMI-CEC / Auto Source Switch+ / Adaptive Picture / Ultrawide Game View / 低藍光 / 零閃屏,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧音效 Adaptive Sound+,HAS PIVOT 底座 / HAS 高度 120mm / 前後傾斜 -2°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 124W,612.8 x 557.2 x 188.0 mm,612.8 x 367.1 x 24.5 mm,693 x 156 x 451 mm,5.3 kg,3.3 kg,7.5 kg,電源線 1.5m + HDMI 線 + USB Type-C 線 + 白色 USB-C 充電遙控器
