LS27HG806EFXZW,對應型號S27HG806EF,27吋 Odyssey G8 G80HF 5K 180Hz / QHD 360Hz 平面電競顯示器,27吋16:9 IPS平面,5K (5120 x 2880) / DLG QHD (2560 x 1440),Max 5K 180Hz / QHD 360Hz,1ms (GtG),典型 350 cd/㎡ / 峰值 400 cd/㎡ / 最小 250 cd/㎡,原生 1000:1,HDR10 / HDR10+ Gaming,178°(H)/178°(V),sRGB 99% / Max 1B 色,節能模式 / 低藍光 / 零閃屏 / FreeSync Premium / G-Sync / 雙模式 / Off Timer Plus / 黑平衡 / 虛擬準心 / Core Sync / 超級電競模式 UX / Auto Source Switch+,Display Port 1 (DP 2.1) + HDMI 2 (2.1) + 耳機 + USB-B 上行 + USB-A 下行 2 (3.2 Gen1),無喇叭,HAS Pivot 底座 HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -92°~92°,100 x 100 mm,AC 100-240V 外接電源變壓器,最高 78W,614.1 x 566.6 x 263.9 mm,614.1 x 365.1 x 59.6 mm,665 x 153 x 477 mm,6.2 kg,3.7 kg,8.3 kg,電源線 1.5m + HDMI 線 + DP 線 + USB 3.0 線
LS32CM703UCXZW,對應型號S32CM703UC,32吋智慧聯網螢幕 M7 (2023),32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 300 cd/㎡ / 最小 240 cd/㎡,3000:1 (靜態),HDR10,178°(H)/178°(V),sRGB 99% (CIE1931) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / Microsoft 365 / SmartThings Hub / 多裝置體驗 / Wireless DeX / My Contents / 多重視窗 (Multi View 2 影片) / NFT (Nifty Gateway) / 感應連結 (Tap View) / 遠端存取 / 遊戲模式 / 影像尺寸 / Windows 10 認證 / 虛擬準心 / Game Bar 2.0 / HDMI-CEC / Auto Source Switch+ / Adaptive Picture / Ultrawide Game View / 低藍光 / 零閃屏,Wireless Display + HDMI 1 (2.0, HDCP 2.2) + USB 2 (USB Hub 2.0) + USB-C 1 (65W 充電, HDCP 2.2) + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / 智慧音效 Adaptive Sound+,HAS PIVOT 底座 / HAS 高度 120mm / 前後傾斜 -2°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 140W,713.4 x 643.5 x 200 mm,713.4 x 423.8 x 24.5 mm,800 x 159 x 511 mm,6.4 kg,4.2 kg,9 kg,電源線 1.5m + HDMI 線 + USB Type-C 線 + 白色 USB-C 充電遙控器
LS27CM501ECXZW,對應型號S27CM501EC,27吋智慧聯網螢幕 M5 (2023) 白色,27吋16:9 VA,Full HD (1920 x 1080),Max 60Hz,4ms(GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,3000:1 (Typ.),HDR10,178°(H)/178°(V),Max 1B 色,Smart 類型 / Tizen 作業系統 / Microsoft 365 / 感應連結 Tap View / 遠端存取 Remote Access,Wireless Display + HDMI 2 (1.4) + HDCP 2.2 + USB 2 + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / Adaptive Sound,前後傾斜 -2.0°(±2.0°)~+22.0°(±2.0°) / 壁掛 100 x 100,100 x 100,AC 100-240V,最高 50W (內置電源),615.5 x 455.4 x 193.5 mm,615.5 x 367.9 x 41.8 mm,738.0 x 126.0 x 428.0 mm,5.0 kg,3.9 kg,6.4 kg,電源線 1.5m + HDMI 連接線 + 白色遙控器
LS27CM500ECXZW,對應型號S27CM500EC,27吋智慧聯網螢幕 M5 (2023) 黑色,27吋16:9 VA,Full HD (1920 x 1080),Max 60Hz,4ms(GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,3000:1 (Typ.),HDR10,178°(H)/178°(V),Max 1B 色,Smart 類型 / Tizen 作業系統 / Microsoft 365 / 感應連結 Tap View / 遠端存取 Remote Access,Wireless Display + HDMI 2 (1.4) + HDCP 2.2 + USB 2 + WiFi 5 + 藍牙 5.2,立體聲 5W x 2 / Adaptive Sound,前後傾斜 -2.0°(±2.0°)~+22.0°(±2.0°) / 壁掛 100 x 100,100 x 100,AC 100-240V,最高 50W (內置電源),615.5 x 455.4 x 193.5 mm,615.5 x 367.9 x 41.8 mm,738.0 x 126.0 x 428.0 mm,4.8 kg,3.6 kg,6.1 kg,電源線 1.5m + HDMI 連接線 + 黑色遙控器
LS34A650UBCXZW,對應型號S34A650UBC,34吋 S6 Ultra WQHD 高解析度曲面顯示器 (ENERGY STAR),34吋21:9 VA曲面 1000R,UWQHD (3440 x 1440),Max 100Hz,5ms,典型 350 cd/㎡ / 最小 250 cd/㎡,原生 4000:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),Max 1.07B (官網未標示 sRGB 覆蓋率),省電模式自由選 / Eco Light Sensor / 低藍光 / 零閃屏 / PIP / PBP / 遊戲模式 / 影像尺寸 / FreeSync / Off Timer Plus / Auto Source Switch+ / Adaptive Picture / Windows 10 認證,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機 + USB 3.0 x 3 + USB-C 1 (90W 充電) + LAN x 1,無喇叭,HAS 底座 HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -2°~2°,100 x 100,AC 100-240V 內置電源,(官網未標示),806.6 x 553.3 x 234.9 mm,806.6 x 369.4 x 128.1 mm,895.0 x 216.0 x 471.0 mm,7.6 kg,5.1 kg,9.7 kg,電源線 1.5m + HDMI 線 + USB Type-C 線
LC32G55TQBCXZW,對應型號C32G55TQBC,32吋 Odyssey G5 1000R 曲面電競顯示器,32吋16:9 VA曲面 1000R,QHD (2560 x 1440),Max 144Hz,1ms (MPRT),典型 300 cd/㎡ / 最小 200 cd/㎡,原生 2500:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),Max 16.7M 色 (官網未標示 sRGB/NTSC),低藍光 / 零閃屏 / Windows 10 認證 / FreeSync Premium / Off Timer Plus / 智慧影像尺寸調整 / 黑平衡 / 低輸入延遲 / 更新率最佳化 / 超級電競模式 UX / 色彩支援 Custom/FPS/RTS/RPG/Sports/Cinema/Dynamic Contrast,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機,無喇叭,Y 型底座 (無 HAS 高度) / 前後傾斜 -2°~18°,75 x 75,AC 100-240V 外接電源變壓器,(官網未標示),710.1 x 533.6 x 272.6 mm,710.1 x 439.4 x 135.9 mm,793.0 x 197 x 494.0 mm,5.2 kg,4.8 kg,7.5 kg,電源線 1.5m + HDMI 線
LC27G55TQBCXZW,對應型號C27G55TQBC,27吋 Odyssey G5 1000R 曲面電競顯示器,27吋16:9 VA曲面 1000R,QHD (2560 x 1440),Max 144Hz,1ms (MPRT),典型 300 cd/㎡ / 最小 200 cd/㎡,原生 2500:1 / 動態 Mega ∞ DCR,HDR10,178°(H)/178°(V),Max 16.7M 色 (官網未標示 sRGB/NTSC),低藍光 / 零閃屏 / Windows 10 認證 / FreeSync Premium / Off Timer Plus / 智慧影像尺寸調整 / 黑平衡 / 低輸入延遲 / 更新率最佳化 / 超級電競模式 UX,Display Port 1.2 x 1 + HDMI 2.0 x 1 + 耳機,無喇叭,Y 型底座 (無 HAS 高度) / 前後傾斜 -2°~18°,75 x 75,AC 100-240V 外接電源變壓器,(官網未標示),710.1 x 533.6 x 272.6 mm,710.1 x 439.4 x 135.9 mm,793.0 x 197 x 494.0 mm,5.2 kg,4.8 kg,7.5 kg,電源線 1.5m + HDMI 線
LS28BG700ECXZW,對應型號S28BG700EC,28吋 Odyssey G7 平面電競顯示器 G70B,28吋16:9 IPS,4K UHD (3840 x 2160),Max 144Hz,1ms (GtG),典型 300 cd/㎡ / 最小 250 cd/㎡,原生 1000:1,VESA DisplayHDR 400 / HDR10+ / HDR10+ Gaming,178°(H)/178°(V),Max 1B 色彩 / DCI 90% 覆蓋率,Eco Light Sensor / 低藍光 / 零閃屏 / 遊戲模式 / Windows 10 認證 / FreeSync Premium Pro / G-Sync / 虛擬準心 / Core Sync / Game Bar 2.0 / HDMI-CEC / Auto Source Switch+ / Adaptive Picture / Ultrawide Game View / Tizen 作業系統 / 長距離語音辨識 / TV Plus / Microsoft 365 / SmartThings 應用程式 / 螢幕鏡射 (DLNA) / 感應連結 (Tap View) / 遠端存取 (Remote Access) / 聲音分享 / ConnectShare™,Wireless Display + Display Port 1.4 x 1 + HDMI 2.1 x 2 + USB Hub 3.0 x 2 + LAN x 1 + WiFi 5 + 藍牙 5.2 + 耳機,立體聲喇叭 / 智慧偵測音效 (Adaptive Sound),HAS 120mm / 前後傾斜 -9°~13° / 左右旋轉 -15°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 80W,637.9 x 577.0 x 311.1 mm,637.9 x 380.5 x 108.6 mm,716.0 x 169.0 x 489.0 mm,7.0 kg,5.1 kg,9.6 kg,電源線 1.5m + DP 線 + 遙控器
LS27BG650ECXZW,對應型號S27BG650EC,27吋 Odyssey G6 1000R 曲面電競顯示器,27吋16:9 VA曲面 1000R,QHD (2560 x 1440),Max 240Hz,1ms (GtG),典型 350 cd/㎡ / 最小 300 cd/㎡,原生 2500:1,VESA DisplayHDR 600,178°(H)/178°(V),Max 1B 色彩 / DCI 95% (Typ) 88% (Min),低藍光 / 零閃屏 / 金屬量子點顯色技術 / 遊戲模式 / Windows 10 認證 / FreeSync Premium Pro / 虛擬準心 / Core Sync / Game Bar 2.0 / HDMI-CEC / Auto Source Switch+ / Adaptive Picture / Ultrawide Game View / Tizen 作業系統 / 長距離語音辨識 / SmartThings 應用程式 / 螢幕鏡射 (DLNA) / 感應連結 (Tap View) / 遠端存取 (Remote Access) / 聲音分享 / ConnectShare™,Wireless Display + Display Port 1.4 x 1 + HDMI 2.1 x 2 (HDCP 2.2) + USB Hub 3.0 x 2 + LAN x 1 + WiFi 5 + 藍牙 5.2 + 耳機,立體聲喇叭 / 智慧偵測音效 (Adaptive Sound),HAS 120mm / 前後傾斜 -9°~13° / 左右旋轉 -15°~15° / 垂直旋轉 -92°~92°,100 x 100,AC 100-240V 外接電源變壓器,(官網未標示),615.8 x 578.3 x 311.1 mm,615.8 x 384.4 x 165.6 mm,688.0 x 214.0 x 461.0 mm,6.4 kg,4.5 kg,8.8 kg,電源線 1.5m + DP 線 + 遙控器
LS49A950UICXZW,對應型號S49A950UIC,49吋 S9 高解析度超寬曲面顯示器,49吋32:9 VA曲面 1800R,DQHD (5120 x 1440),60Hz (DP: Max 120Hz),4ms (GtG),典型 350 cd/㎡ / 峰值 400 cd/㎡ / 最小 250 cd/㎡,原生 3000:1 / 動態 Mega DCR,VESA DisplayHDR 400,178°(H)/178°(V),NTSC 88% / DCI 95% / sRGB 125% / Adobe RGB 92% / Max 1.07B / 金屬量子點顯色技術,省電模式自由選 / 低藍光 / 零閃屏 / PBP 分割畫面 / 影像尺寸 / 智慧影像尺寸調整 / 黑平衡 / 低輸入延遲 / 更新率最佳化 / Auto Source Switch / Windows 10 認證 / Off Timer Plus / 工廠出廠調校,Display Port 1.4 x 1 + HDMI 2 x 2 + 耳機 + USB 3.0 x 3 + USB-C 1 (90W) + LAN x 1,立體聲喇叭 (有),HAS 底座 HAS 120mm / 前後傾斜 -2°~15° / 左右旋轉 -15°~15° / 垂直旋轉 (官網未標示),100 x 100,AC 100-240V 內置電源,(官網未標示),1199.5 x 523.1 x 349.7 mm,1199.5 x 369.4 x 193.7 mm,1327.0 x 318.0 x 497.0 mm,14.6 kg,11.6 kg,20.1 kg,電源線 1.5m + HDMI 線 + USB Type-C 線
LS43BM700UCXZW,對應型號S43BM700UC,43吋智慧聯網螢幕 M7 (2022),43吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms(GtG),典型 300 cd/㎡ / 最小 240 cd/㎡,5000:1 (Typ.),HDR10,178°(H)/178°(V),Max 1B 色 (官網未標示 NTSC/sRGB/DCI-P3),Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™,Wireless Display + HDMI 2 (2.0) + USB 3 (USB Hub 2.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 5.2,立體聲喇叭 (官網未標示瓦數) / Adaptive Sound,前後傾斜 -2.0°(±2.0°)~20.0°(±2.0°) / 壁掛 200 x 200,200 x 200,AC 100-240V 內置電源,(官網未標示),965.5 x 629.3 x 247.2 mm,965.5 x 559.8 x 25.7 mm,1198 x 677 x 159 mm,10.6 kg,8.5 kg,13.7 kg,電源線 1.5m + HDMI 連接線 + 白色 USB-C 充電遙控器
LS27AG320NCXZW,對應型號S27AG320NC,27吋 Odyssey G3 平面電競顯示器 G32A,27吋16:9 VA,FHD (1920 x 1080),Max 165Hz,1ms (MPRT),典型 250 cd/㎡ / 最小 200 cd/㎡,原生 3000:1 / 動態 MEGA,(官網未標示),178°(H)/178°(V),NTSC 72% / Max 16.7M 色,省電模式自由選 / 低藍光 / 零閃屏 / 遊戲模式 / Windows 10 認證 / FreeSync Premium / Off Timer Plus / 黑平衡 / 更新率最佳化工具,Display Port 1.2 x 1 + HDMI 1.4 x 1 + 耳機,無喇叭,HAS 底座 HAS 120mm / 前後傾斜 -5°~20° / 左右旋轉 -15°~15° / 垂直旋轉 -2°~92°,100 x 100,AC 100-240V 外接電源變壓器,最高 35W,618.2 x 520.6 x 234.2 mm,618.2 x 376.9 x 92.4 mm,704.0 x 218.0 x 464.0 mm,4.8 kg,3.3 kg,7.2 kg,電源線 1.5m + DP 線
LS27BM500ECXZW,對應型號S27BM500EC,27吋智慧聯網螢幕 M5 (2022),27吋16:9 VA,Full HD (1920 x 1080),Max 60Hz,4ms(GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,3000:1 (Typ.),HDR10,178°(H)/178°(V),Max 1B 色 (官網未標示 NTSC/sRGB),Smart 類型 / Tizen 作業系統 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™,Wireless Display + HDMI 2 (1.4) + USB 2 + WiFi 5 + 藍牙 5.2 (官網未標示 HDCP),立體聲喇叭 (官網未標示瓦數) / Adaptive Sound,前後傾斜 -2.0°(±2.0°)~+22.0°(±2.0°) / 壁掛 100 x 100,100 x 100,AC 100-240V,最高 50W (內置電源),615.5 x 455.4 x 193.5 mm,615.5 x 367.9 x 41.8 mm,738.0 x 126.0 x 428.0 mm,4.8 kg,3.6 kg,6.1 kg,電源線 1.5m + HDMI 連接線 + 黑色遙控器
LS32BM801UCXZW,對應型號S32BM801UC,32吋智慧聯網螢幕 M8 (2022),32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (Typ.),HDR10 / HDR10+,178°(H)/178°(V),sRGB 99% (Typ.) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™,Wireless Display + Micro HDMI 1 (2.0, HDCP 2.2) + USB 1 (USB-C Hub 3.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 5.2,立體聲 (官網未標示輸出瓦數) / Adaptive Sound+,HAS 底座 / HAS 高度 120.0±5.0mm / 前後傾斜 -2.0°(±2.0°)~15.0°(±2.0°),官網未標示 (產品文宣提及支援 VESA 壁掛),AC 100-240V 外接電源變壓器,(官網未標示),713.4 x 575.2 x 203.8 mm,713.4 x 418.8 x 22.3 mm,798.0 x 124.0 x 568.0 mm,6.70 kg,4.4 kg,10.10 kg,電源線 1.5m + HDMI 轉 Micro HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (SlimFit Cam)
LS32BM80GUCXZW,對應型號S32BM80GUC,32吋智慧聯網螢幕 M8 (2022) 湖水綠,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (Typ.),HDR10 / HDR10+,178°(H)/178°(V),sRGB 99% (Typ.) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™,Wireless Display + Micro HDMI 1 (2.0, HDCP 2.2) + USB 1 (USB-C Hub 3.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 5.2,立體聲 / Adaptive Sound+,HAS 底座 / HAS 高度 120.0±5.0 mm / 前後傾斜 -2.0°(±2.0°)~15.0°(±2.0°),官網未標示 (但產品文宣提及支援 VESA 壁掛),AC 100-240V 外接電源變壓器,(官網未標示),713.4 x 575.2 x 203.8 mm,713.4 x 418.8 x 22.3 mm,798.0 x 124.0 x 568.0 mm,6.7 kg,4.4 kg,9.4 kg,電源線 1.5m + HDMI 轉 Micro HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸 SlimFit camera)
LS32BM80BUCXZW,對應型號S32BM80BUC,32吋智慧聯網螢幕 M8 (2022) 白色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (Typ.),HDR10 / HDR10+,178°(H)/178°(V),sRGB 99% (Typ.) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™,Wireless Display + Micro HDMI 1 (2.0, HDCP 2.2) + USB 1 (USB-C Hub 3.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 5.2,立體聲 / Adaptive Sound+,HAS 底座 / HAS 高度 120.0±5.0 mm / 前後傾斜 -2.0°(±2.0°)~15.0°(±2.0°),官網未標示,AC 100-240V 外接電源變壓器,(官網未標示),713.4 x 575.2 x 203.8 mm,713.4 x 418.8 x 22.3 mm,798.0 x 124.0 x 568.0 mm,6.7 kg,4.4 kg,9.4 kg,電源線 1.5m + HDMI 轉 Micro HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸 SlimFit camera)
LS32BM80PUCXZW,對應型號S32BM80PUC,32吋智慧聯網螢幕 M8 (2022) 粉色,32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,4ms (GtG),典型 400 cd/㎡ / 最小 300 cd/㎡,3000:1 (Typ.),HDR10 / HDR10+,178°(H)/178°(V),sRGB 99% (Typ.) / Max 1B,Smart 類型 / Tizen 作業系統 / 長距離語音辨識 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™,Wireless Display + Micro HDMI 1 (2.0, HDCP 2.2) + USB 1 (USB-C Hub 3.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 5.2,立體聲 / Adaptive Sound+,HAS 底座 / HAS 高度 120.0±5.0 mm / 前後傾斜 -2.0°(±2.0°)~15.0°(±2.0°),官網未標示,AC 100-240V 外接電源變壓器,(官網未標示),713.4 x 575.2 x 203.8 mm,713.4 x 418.8 x 22.3 mm,798.0 x 124.0 x 568.0 mm,6.7 kg,4.4 kg,9.4 kg,電源線 1.5m + HDMI 轉 Micro HDMI 連接線 + USB Type-C 連接線 + 白色 USB-C 充電遙控器 + 視訊攝影機 (可拆式磁吸 SlimFit camera)
LS32AM703UCXZW,對應型號S32AM703UC,32吋智慧聯網螢幕 M7 (白色),32吋16:9 VA,4K UHD (3840 x 2160),Max 60Hz,8ms (GtG),典型 250 cd/㎡ / 最小 200 cd/㎡,3000:1 (Typ.),HDR10,178°(H)/178°(V),Max 16.7M (官網未標示 sRGB),Smart 類型 / Tizen 作業系統 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™ / Smart TV Apps,HDMI 2 (2.0) + USB 3 (USB Hub 2.0) + USB-C 1 (65W 充電) + WiFi 5 + 藍牙 4.2,立體聲喇叭 (官網未標示輸出瓦數),簡約型底座 / 前後傾斜 -2.0°~+22.0°(±2.0°),100 x 100,AC 100-240V 內置電源,最高 150W,716.1 x 517.0 x 193.5 mm,716.1 x 424.5 x 41.8 mm,842.0 x 133.0 x 487.0 mm,6.8 kg,5.7 kg,8.7 kg,電源線 1.5m + HDMI 連接線 + USB Type-C 連接線 + 遙控器
LS24AM506NCXZW,對應型號S24AM506NC,24吋智慧聯網螢幕 M5,24吋16:9 IPS,Full HD (1920 x 1080),Max 60Hz,14ms,典型 250 cd/㎡ / 最小 200 cd/㎡,1000:1 (Typ.),HDR10,178°(H) / 178°(V),Max 16.7M 色 (官網未標示 sRGB 覆蓋率),Smart 類型 / Tizen 作業系統 / SmartThings / 螢幕鏡射 (DLNA) / 感應連結 Tap View / 遠端存取 / 聲音分享 / ConnectShare™ / Smart TV Apps / AirPlay 2,HDMI 2 (2.0) + USB 1 + WiFi 5 + 藍牙 5.2 (官網未標示 HDCP / 無 USB-C / 無 Wireless Display),立體聲 (官網未標示瓦數),簡約型底座 / 前後傾斜 -4.0°(±2.0°)~+18.0°(±2.0°) (官網未標示 HAS 高度與垂直旋轉),100 x 100,AC 100-240V 外接電源變壓器,(官網未標示),539.2 x 416.1 x 232.0 mm,539.2 x 326.0 x 39.4 mm,681.0 x 139.0 x 387.0 mm,2.9 kg,2.6 kg,4.5 kg,電源線 1.5m + HDMI 連接線 + 遙控器 (官網未標示顏色 / 無 USB-C / 無視訊攝影機 / 無 Pogo Gender)
LS27A600NWCXZW,對應型號S27A600NWC,27吋 S6 QHD 高解析度平面顯示器 (ENERGY STAR) 白色,27吋16:9 IPS,QHD (2560 x 1440),Max 75Hz,5ms,典型 300 cd/㎡ / 最小 250 cd/㎡,原生 1000:1 / 動態 Mega,HDR10,178°(H)/178°(V),sRGB 99% (Typ) / Max 1.07B,省電模式自由選 / Eco Light Sensor / 低藍光 / 零閃屏 / PIP / PBP / 遊戲模式 / 影像尺寸 / FreeSync / Off Timer Plus / Auto Source Switch+ / Adaptive Picture / Windows 10 認證,Display Port 1.2 x 1 + HDMI 1.4 x 1 + 耳機 + USB 4 個 (USB 2.0 x 1 + USB 3.0 x 3),無喇叭,HAS 底座 HAS 120mm / 前後傾斜 -2°~25° / 左右旋轉 -30°~30° / 垂直旋轉 -2°~92°,100 x 100,AC 100-240V 內置電源,最高 65W,615.5 x 551.9 x 196.4 mm,615.5 x 368.2 x 42.7 mm,686 x 171 x 450 mm,6.4 kg,4.4 kg,8.1 kg,電源線 1.5m + HDMI 連接線 + USB 3.0 連接線
